identifier,usPort,foreignPort,vessel,estimateArrival,actualArrival,pieces,contents
2015031248,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,42,PHONE CASE
2015011671,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,693,100% PVC HANDBAG
2015012044,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,2000,SCISSORS(GARDEN TOOLS)
2015011671,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,673,55% JUTE 45% COTTON HANDBAG
2015030543,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,494,ALUMINIUM  BAT
2015011671,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,711,100% PVC HANDBAG
20150127126,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,150,CUBE KIT
2015011671,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,669,100% PVC HANDBAG
20150127127,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,848,GLOBE LIGHTS PATRIOTIC STAR LIGHTS RESCUE PET SIGN TABLECLOTH CLAMP CARGO BAG BIKE BAG HOSE CARRY STRAPCOLLAPS FOLDING SHELF
2015011671,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,870,55% JUTE 45% COTTON HANDBAG
20150127127,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,839,COPPER LANTERNS MESH STEEL LIGHTS
2015021875,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,853,LOCK
2015012140,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,6,STONE SLABS
2015012897,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1132,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015011672,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,480,100% COWHIDE LEATHER HANDBAG
2015021894,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1132,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015011679,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,6,DOOR HINGE
2015021894,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1300,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015022849,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,5,GUIDE SERIES MENS RIDGEPOINT JACKET
2015011681,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1044,SET OF THREE CERAMIC CANDLE STICKS
2015011670,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,759,HANDBAG 100%COWHIDE LEATHER MESSENGER BAG 100%COWHIDE LEATHER
2015030485,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,848,GLOBE LIGHTS PATRIOTIC STAR LIGHTS RESCUE PET SIGN TABLECLOTH CLAMP CARGO BAG BIKE BAG HOSE CARRY STRAPCOLLAPS FOLDING SHELF
2015013198,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,6,DOOR HINGE
2015030485,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,839,COPPER LANTERNS MESH STEEL LIGHTS
2015012141,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,17,MARBLE TILES
201503049,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,945,COOLER BAG
2015012141,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,9,MARBLE TILES
2015021894,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1315,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015030432,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,118,CAMPING TENT
201503049,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1155,COOLER BAG
2015021172,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,180,JACKET AND PANT
2015011565,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,656,IRON FAN
2015030451,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,60,POLYRESIN GIFTWARES
2015012127,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,387,PLASTIC PARTS (FOR POSTAL FRANKING MACHINES) (H.S.CODE:3926 9090) 1 P.O.NO.4500288563 (A0021338) 120 CTNS 2 P.O.NO.4500275557(4131070X) 50 CTNS 3 P.O.NO.4500287943 (4131084M) 89 CTNS 4 P.O.NO.4500288185 (4137854P) 1 CTN 5 P.O.NO.4500275560 (4131180M) 34 CTNS 6 P.O.NO.4500275554(4131085N) 36 CTNS 7 P.O.NO.4500275550 (4131093W) 36 CTNS 8 P.O.NO.4500275555 (4135179C) 21 CTNS TOTAL:387 CTNS/ 20 PLASTIC PLTS DOES NOT CONTAIN WOODPACKAGING MATERIAL
2015020582,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,152,PAPER BAG
2015022881,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,878,RESIN PEACOCK LAMP
2015012840,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,54,GOLF SHAFTS
2015022884,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,2981,KNIFE(HOUSEWARE)
2015012149,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,50,SPORTS BAGS
2015022895,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1315,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015031214,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1496,INSOLES
2015022895,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1300,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015031214,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1397,INSOLES
2015022895,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1132,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015022824,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,6,STONE SLABS
2015012261,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,679,100%COWHIDE LEATHER HANDBAG
2015011930,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,204,LCD MONITOR
2015012888,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,150,CUBE KIT
2015030520,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,611,ADULT BAG RESERVOIR MEDIUM MASK AIRSOFT MASK
2015012897,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1315,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015011624,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,611,ADULT BAG RESERVOIR MEDIUM MASK AIRSOFT MASK
201501289,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,720,CERAMIC TILES
2015020420,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1496,INSOLES
2015012887,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1275,KNIFE(HOUSEWARE)
2015013076,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,243,RELAYS
2015012910,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,720,CERAMIC TILES
2015012047,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,50,SPORTS BAGS
2015020465,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,610,TOWER FAN
20150122106,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,121,GSX WOMENS PERFORMANCE TANK
2015013097,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,145,AIR CLEANER
2015030550,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,42,PHONE CASE
2015013098,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,573,BOX FAN
20150122106,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,90,GSX MENS TRACK SHORT
2015013098,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,570,BOX FAN
2015030550,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,3,DARK MARK TATTOO PATCH
20150131101,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,878,RESIN PEACOCK LAMP
2015030550,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,7,GRYFFINDOR CREST PATCH
2015020482,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1044,SET OF THREE CERAMIC CANDLE STICKS
2015012821,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,714,LCD MONITOR
2015012757134,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,13,QUARTZ PRODUCT
2015031264,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1470,GAME BOARD
20150205100,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,8,LCD MAIN BOARD
20150211116,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,570,BOX FAN
2015011966,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,42,PHONE CASE
2015031271,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,499,LOCK
2015011966,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,3,DARK MARK TATTOO PATCH
2015013122,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,945,COOLER BAG
2015011935,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1265,WALL DECOR
2015013122,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,900,COOLER BAG
20150211123,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,765,HANDBAG 100%COTTON HANDBAG 100%COWHIDE LEATHER
2015022839,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,54,GOLF SHAFTS
2015030462,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,624,ELECTRIC FAN
20150205125,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,6,DOOR HINGE
20150126107,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,736,RESIN TABLE LAMP
2015020424,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,204,LCD MONITOR
2015031274,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,6,DOOR HINGE
20150205136,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,115,EMPEY PAPER BOX
2015031240,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1928,WOOD RING/BATON/BRACKET/FINIAL
2015012044,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1000,SCISSORS(GARDEN TOOLS)
2015013124,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,497,100%COTTON MESSENGER BAG 100%PVC HANDBAG 100%COWHIDE LEATHER HANDBAG
2015012044,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,3843,SCISSORS(GARDEN TOOLS)
2015013124,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,13,100%COWHIDE LEATHER MESSENGER BAG
2015012921,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1155,LCD MONITOR
2015013124,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,646,100%COTTON BAG 100%PVC HANDBAG 100%PVC WRISTLET 100%POLYESTER WALLET 100%COWHIDE LEATHER HANDBAG
2015022831,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,28,BOATING GOODS
2015013124,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,667,100%COWHIDE LEATHER COURIER BAG 100%COWHIDE LEATHER DOCUMENT BAG 100%COWHIDE LEATHER BACKPACK 100%COWHIDE LEATHER SLING PACK 100%COWHIDE LEATHER BRIEF CASE 100%POLYESTER BRIEF CASE 100%COTTO BRIEF CASE100%COTTON DUFFLE BAG
2015031284,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,839,COPPER LANTERNS MESH STEEL LIGHTS
2015012799,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,765,HANDBAG 100%COTTON HANDBAG 100%COWHIDE LEATHER
2015031284,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,848,GLOBE LIGHTS PATRIOTIC STAR LIGHTS RESCUE PET SIGN TABLECLOTH CLAMP CARGO BAG BIKE BAG HOSE CARRY STRAPCOLLAPS FOLDING SHELF
2015012799,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,777,HANDBAG 100%COWHIDE LEATHER TRAVEL KIT 100%COTTON
2015011620,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1155,LCD MONITOR
2015031290,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,736,RESIN TABLE LAMP
2015012799,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,830,HANDBAG 100%PVC
20150122152,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1132,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015012799,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,759,HANDBAG 100%COWHIDE LEATHER MESSENGER BAG 100%COWHIDE LEATHER
20150122152,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1315,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015012799,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,949,HANDBAG 100%COWHIDE LEATHER HANDBAG 100%PVC
20150122152,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1300,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
201503127,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,675,LCD MONITOR
20150122152,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1395,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015012254,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1110,SANDAL RACK
2015012923,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,204,LCD MONITOR
2015012181,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,573,BOX FAN
2015012613,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1098,65%COTTON 35%POLYFIBER JWL POUCH
2015012181,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,570,BOX FAN
2015011954,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,243,RELAYS
2015012184,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,624,ELECTRIC FAN
2015020447,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,494,ALUMINIUM  BAT
2015020553,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,2340,LAVATORY TOILET
2015011627,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1265,WALL DECOR
2015011571,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,705,LOCK
2015012055,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,243,RELAYS
201501157,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,675,LCD MONITOR
2015013133,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,772,SANDAL RACK FLOOR
2015011558,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,229,POLYESTER WIPER
2015012058,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,2,NON-CHILD COSMETICS - EYE MASCARA
2015031291,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1395,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015020433,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,28,BOATING GOODS
2015031291,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1132,LIGHTING FIXTURE AND COMPONENTS CEILING FANS AND PARTS
2015011627,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1473,WALL DECOR
2015030410,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1998,KNIVES(HOUSEWARE)
2015013134,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1496,INSOLES
20150120108,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,883,LIGHTING FIXTURE AND COMPONENTS
2015013134,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1397,INSOLES
2015011526,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,983,SCISSORS(GARDEN TOOLS)
2015011670,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,765,HANDBAG 100%COTTON HANDBAG 100%COWHIDE LEATHER
2015012058,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,34,NON-CHILD TEMPORARY HAIR COLOR
20150127102,"Long Beach,California","Chiwan,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,300,STAINLESS STEEL FABRICATED SINK
2015012142738,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,405,WOMENS FOOTWEAR
2015012027,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,845,100%PVC HANDBAG
2015022830,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,7,BOATING GOODS
2015012027,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,667,100%COWHIDE LEATHER COURIER BAG 100%COWHIDE LEATHER DOCUMENT BAG 100%COWHIDE LEATHER BACKPACK 100%COWHIDE LEATHER SLING PACK 100%COWHIDE LEATHER BRIEF CASE 100%POLYESTER BRIEF CASE 100%COTTO BRIEF CASE100%COTTON DUFFLE BAG
2015012946,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1,ARM FOR DENTIST CHAIR
2015012027,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,646,100%COTTON BAG 100%PVC HANDBAG 100%PVC WRISTLET 100%POLYESTER WALLET 100%COWHIDE LEATHER HANDBAG
2015013172,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,8,LCD MAIN BOARD
2015012027,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,13,100%COWHIDE LEATHER MESSENGER BAG
2015022841,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1,ARM FOR DENTIST CHAIR
2015012966,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,145,AIR CLEANER
2015012027,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,497,100%COTTON MESSENGER BAG 100%PVC HANDBAG 100%COWHIDE LEATHER HANDBAG
2015012099,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,2981,KNIFE(HOUSEWARE)
2015012981,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,853,LOCK
2015011729,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1496,INSOLES
20150211123,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,777,HANDBAG 100%COWHIDE LEATHER TRAVEL KIT 100%COTTON
2015011729,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1397,INSOLES
20150211123,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,830,HANDBAG 100%PVC
2015030570,"Long Beach,California","Chiwan,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,300,STAINLESS STEEL FABRICATED SINK
20150211123,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,759,HANDBAG 100%COWHIDE LEATHER MESSENGER BAG 100%COWHIDE LEATHER
20150121106,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1826,KNIFE(HOUSEWARE)
2015031237,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1,ARM FOR DENTIST CHAIR
20150121109,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,1421,KNIFE(HOUSEWARE)
2015011964,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,3,GSX MENS TRACK SHORT
2015031258,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,570,BOX FAN
2015011964,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,3,GSX WOMENS PERFORMANCE SHORT
2015020464,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,570,BOX FAN
2015030549,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,54,GSX WOMENS PERFORMANCE 1/4 ZIP JACKET
2015020464,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,573,BOX FAN
2015030529,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,28,BOATING GOODS
201503046,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,2340,LAVATORY TOILET
2015022857,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,17,PHONE CASE
2015030594,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,736,RESIN TABLE LAMP
2015011968,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,60,POLYRESIN GIFTWARES
2015031258,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,573,BOX FAN
2015030416,"Long Beach,California","Xiamen,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,643,LCD MONITORS
2015011981,"Long Beach,California","Yantian,China (Mainland)",CMA CGM CENTAURUS,2014-02-12,2014-02-16,675,FLIPPI FAN
2015022869,"Long Beach,California","Hong Kong,Hong Kong",CMA CGM CENTAURUS,2014-02-12,2014-02-16,759,HANDBAG 100%COWHIDE LEATHER MESSENGER BAG 100%COWHIDE LEATHER
